SRR873382	SRR873383	SRR873384	SRR873385	SRR873386	SRR873387	SRR873388	SRR873389
hsa-miR-4296	0	0	0	0	0	0	0	0
hsa-miR-4297	0	0	0	0	0	0	0	0
hsa-miR-4298	0	0	0	0	0	0	0	0
hsa-miR-4299	0	0	0	0	0	0	0	0
hsa-miR-4300	0	0	0	0	0	0	0	0
hsa-miR-4301	0	0	0	0	0	0	0	0
hsa-miR-4302	0	0	0	0	0	0	0	0
hsa-miR-4303	0	0	0	0	0	0	0	0
hsa-miR-4304	0	0	0	0	0	0	0	0
hsa-miR-4305	0	0	0	0	0	0	0	0
hsa-miR-4306	0	0	0	0	1	0	0	1
hsa-miR-4307	0	0	0	0	0	1	0	0
hsa-miR-4308	0	0	0	0	0	0	0	0
hsa-miR-4309	0	0	0	0	0	0	0	0
hsa-miR-431-3p	0	0	0	0	0	0	0	0
hsa-miR-431-5p	0	0	0	0	0	0	0	0
hsa-miR-4310	0	0	0	0	0	0	0	0
hsa-miR-4311	0	0	0	0	0	0	0	0
hsa-miR-4312	0	0	0	0	0	0	0	0
hsa-miR-4313	0	0	0	0	0	0	0	0
hsa-miR-4314	0	0	0	0	0	0	0	0
hsa-miR-4315	0	0	0	0	0	0	0	0
hsa-miR-4316	0	0	0	0	0	0	0	0
hsa-miR-4317	0	0	0	0	0	0	0	0
hsa-miR-4318	0	0	0	0	0	0	0	0
hsa-miR-4319	0	0	0	0	0	0	0	0
hsa-miR-432-3p	0	0	0	0	0	0	0	0
hsa-miR-432-5p	0	1	0	0	1	2	1	0
hsa-miR-4320	0	0	0	0	0	0	0	0
hsa-miR-4321	0	0	0	0	0	0	0	0
hsa-miR-4322	0	0	0	0	0	0	0	0
hsa-miR-4323	0	0	0	0	0	0	0	0
hsa-miR-4324	0	0	0	0	0	0	0	0
hsa-miR-4325	0	0	0	0	0	0	0	0
hsa-miR-4326	0	1	0	0	1	1	0	2
hsa-miR-4327	0	0	0	0	0	0	0	0
hsa-miR-4328	0	0	0	0	0	0	0	0
hsa-miR-4329	0	0	0	0	0	0	0	0
hsa-miR-433-3p	0	0	0	0	0	0	1	1
hsa-miR-433-5p	0	0	0	0	0	0	0	0
hsa-miR-4330	0	0	0	0	0	0	0	0
hsa-miR-4417	0	2	0	0	0	2	2	1
hsa-miR-4418	0	0	0	0	0	0	0	0
hsa-miR-4419a	0	0	0	0	0	0	0	0
hsa-miR-4419b	0	0	0	0	0	0	0	0
hsa-miR-4420	0	0	0	0	0	0	0	0
hsa-miR-4421	0	0	0	1	0	0	0	0
hsa-miR-4422	0	0	0	0	0	0	0	0
hsa-miR-4423-3p	0	0	0	0	0	0	0	0
hsa-miR-4423-5p	1	2	0	2	1	0	3	0
hsa-miR-4424	2	2	1	3	1	2	1	4
hsa-miR-4425	0	2	0	0	2	0	1	1
hsa-miR-4426	0	0	0	0	0	0	0	0
hsa-miR-4427	0	0	0	1	3	2	0	3
hsa-miR-4428	1	1	0	0	0	0	0	1
hsa-miR-4429	3	6	5	0	4	1	1	7
hsa-miR-4430	0	0	0	0	0	0	0	0
hsa-miR-4431	0	0	0	0	0	0	0	0
hsa-miR-4432	0	0	0	0	0	0	0	0
hsa-miR-4433-3p	0	0	0	0	0	0	0	0
hsa-miR-4433-5p	0	0	0	0	0	0	0	0
hsa-miR-4433b-3p	0	1	0	0	0	0	0	0
hsa-miR-4433b-5p	0	0	0	0	0	0	0	0
hsa-miR-4434	0	0	0	0	0	0	0	0
hsa-miR-4435	16	10	14	24	18	22	40	29
hsa-miR-4436a	0	0	0	0	0	0	0	0
hsa-miR-4436b-3p	0	1	2	0	0	0	0	1
hsa-miR-4436b-5p	0	0	1	0	0	1	0	0
hsa-miR-4437	0	0	0	0	0	0	0	0
hsa-miR-4438	0	0	0	0	0	0	0	0
hsa-miR-4439	0	0	0	0	1	0	1	0
hsa-miR-4440	0	0	0	1	0	0	0	0
hsa-miR-4441	0	0	0	0	0	0	0	0
hsa-miR-4442	1	3	3	2	11	5	7	10
hsa-miR-4443	2	0	0	3	1	1	0	3
hsa-miR-4444	13	12	5	14	20	24	18	22
hsa-miR-4445-3p	0	0	0	0	0	0	0	0
hsa-miR-4445-5p	0	0	0	0	0	0	0	0
hsa-miR-4446-3p	1698	1758	1449	1285	1144	1577	1336	1469
hsa-miR-4446-5p	4	2	4	0	1	1	3	3
hsa-miR-4447	0	0	0	0	0	0	0	0
hsa-miR-4448	0	0	0	1	0	1	0	0
hsa-miR-4449	1	3	2	3	3	4	2	3
hsa-miR-4450	2	0	0	1	1	0	0	0
hsa-miR-4451	3	0	0	1	0	0	0	1
hsa-miR-4452	0	0	0	0	0	0	0	0
hsa-miR-4453	0	0	2	1	3	2	1	0
hsa-miR-4454	5	1	4	2	2	1	2	1
hsa-miR-4455	0	0	0	0	0	0	0	0
hsa-miR-4456	0	0	0	0	0	0	0	0
hsa-miR-4457	0	0	2	0	0	0	1	0
hsa-miR-4458	3	0	1	1	1	0	0	0
hsa-miR-4459	0	0	0	0	0	0	0	0
hsa-miR-4460	3	1	2	0	0	0	1	0
hsa-miR-4461	20	14	3	8	16	18	14	6
hsa-miR-4462	0	0	0	0	0	0	0	0
hsa-miR-4463	0	0	0	0	0	0	0	0
hsa-miR-4464	0	0	0	0	0	0	0	0
hsa-miR-4465	0	0	0	0	1	0	1	1
hsa-miR-4466	74	131	52	34	8	17	20	11
hsa-miR-4467	3	2	4	3	0	2	2	0
hsa-miR-4468	0	0	0	0	0	0	0	0
hsa-miR-4469	2	0	0	0	0	2	0	0
hsa-miR-4470	0	2	2	0	1	3	4	1
hsa-miR-4471	0	0	0	0	0	1	0	0
hsa-miR-4472	0	0	0	0	0	0	0	0
hsa-miR-4473	10	7	8	4	16	17	9	15
hsa-miR-4474-3p	2	6	3	6	2	15	6	9
hsa-miR-4474-5p	1	0	0	0	2	0	1	0
hsa-miR-4475	0	0	1	0	1	0	0	1
hsa-miR-4476	5	1	1	2	1	0	3	1
hsa-miR-4477a	0	0	1	0	0	0	0	0
hsa-miR-4477b	4	1	3	3	3	5	4	5
hsa-miR-4478	0	0	0	0	0	0	0	0
hsa-miR-4479	13	11	11	7	9	23	10	19
hsa-miR-448	80	54	57	39	29	35	28	22
hsa-miR-4480	0	0	0	0	0	0	0	0
hsa-miR-4481	0	0	0	0	0	0	0	0
hsa-miR-4482-3p	0	0	0	1	0	0	0	0
hsa-miR-4482-5p	0	0	0	0	0	0	0	0
hsa-miR-4483	0	0	0	0	0	0	0	0
hsa-miR-4484	5	0	0	2	1	0	0	0
hsa-miR-4485	24	23	19	16	16	12	24	21
hsa-miR-4486	0	0	0	0	0	0	0	0
hsa-miR-4487	0	0	0	0	0	0	0	0
hsa-miR-4488	0	0	0	0	0	0	0	0
hsa-miR-4489	0	3	1	0	0	0	2	0
hsa-miR-4490	0	0	0	0	0	0	0	0
hsa-miR-4491	0	0	0	0	0	0	0	0
hsa-miR-4492	0	0	0	0	0	1	0	0
hsa-miR-4493	0	0	0	0	0	0	0	0
hsa-miR-4494	0	0	0	0	0	0	0	0
hsa-miR-4495	0	0	0	0	0	0	0	0
hsa-miR-4496	0	0	0	0	0	0	0	0
hsa-miR-4497	1	4	0	0	1	4	3	1
hsa-miR-4498	36	27	17	30	25	43	25	28
hsa-miR-4499	0	0	0	0	0	0	0	0
hsa-miR-449a	13	14	21	7	7	15	9	6
hsa-miR-449b-3p	0	0	0	0	0	0	0	0
hsa-miR-449b-5p	4	2	7	0	0	4	1	2
hsa-miR-449c-3p	0	0	0	0	0	0	0	0
hsa-miR-449c-5p	8	6	10	4	4	9	3	2
hsa-miR-4500	0	0	0	0	0	0	0	0
hsa-miR-4501	13	11	13	7	17	15	13	16
hsa-miR-4502	1	12	0	10	3	3	4	4
hsa-miR-4503	0	0	0	1	0	0	1	0
hsa-miR-4504	20	15	19	36	40	43	32	33
hsa-miR-4505	1	0	0	0	0	1	0	0
hsa-miR-4506	0	0	0	0	0	0	0	0
hsa-miR-4507	0	0	0	0	0	0	0	0
hsa-miR-4508	0	0	0	0	0	0	0	0
hsa-miR-4509	0	1	0	0	1	0	0	0
hsa-miR-450a-1-3p	29	8	18	4	3	4	4	2
hsa-miR-450a-2-3p	23	8	13	7	3	3	4	6
hsa-miR-450a-5p	1135	1070	1322	542	698	881	581	504
hsa-miR-450b-3p	3	5	9	2	5	5	1	1
hsa-miR-450b-5p	4879	4000	3471	3869	5016	4144	4619	3795
hsa-miR-4510	28	19	13	15	32	22	12	19
hsa-miR-4511	4	3	5	7	8	7	2	6
hsa-miR-4512	6	3	1	2	4	12	11	3
hsa-miR-4513	0	0	0	0	0	0	0	0
hsa-miR-4514	0	0	0	0	0	0	0	0
hsa-miR-4515	1	0	1	0	1	3	3	1
hsa-miR-4516	0	0	0	0	0	0	0	0
hsa-miR-4517	20	26	9	9	9	6	9	0
hsa-miR-4518	4	4	0	0	5	0	1	1
hsa-miR-4519	4	2	2	1	0	0	1	2
hsa-miR-451a	18	16	20	2	10	4	5	5
hsa-miR-451b	0	0	0	0	0	0	0	0
hsa-miR-452-3p	2	3	0	1	0	1	1	0
hsa-miR-452-5p	30	47	40	31	32	37	29	40
hsa-miR-4520a-3p	2	2	1	1	3	1	1	2
hsa-miR-4520a-5p	0	0	0	0	0	0	0	0
hsa-miR-4520b-3p	2	5	2	9	7	7	5	11
hsa-miR-4520b-5p	0	0	0	0	0	0	0	0
hsa-miR-4521	98	70	17	8	8	11	11	10
hsa-miR-4522	0	0	1	2	1	0	1	0
hsa-miR-4523	1	2	1	1	1	4	1	2
hsa-miR-4524a-3p	0	2	2	0	1	3	0	0
hsa-miR-4524a-5p	0	0	0	0	0	0	0	0
hsa-miR-4524b-3p	0	0	0	0	0	0	0	0
hsa-miR-4524b-5p	0	0	0	0	0	0	0	0
hsa-miR-4525	31	27	48	25	22	16	8	22
hsa-miR-4526	31	38	33	9	11	20	18	21
hsa-miR-4527	0	0	0	0	0	0	0	0
hsa-miR-4528	0	0	0	0	0	0	0	0
hsa-miR-4529-3p	0	0	0	0	0	0	0	0
hsa-miR-4529-5p	0	0	0	0	0	0	0	0
hsa-miR-4530	0	1	0	0	0	0	0	0
hsa-miR-4531	0	0	0	0	0	0	0	0
hsa-miR-4532	0	0	0	0	0	1	0	0
hsa-miR-4533	0	1	1	0	0	1	0	0
hsa-miR-4534	0	0	0	0	0	0	0	0
hsa-miR-4535	0	0	0	0	0	0	0	0
hsa-miR-4536-3p	0	0	0	0	0	0	1	0
hsa-miR-4536-5p	2	0	0	0	2	0	0	1
hsa-miR-4537	0	0	0	0	0	0	0	0
hsa-miR-4538	0	0	0	0	0	0	0	0
hsa-miR-4539	0	0	0	0	0	0	0	0
hsa-miR-454-3p	6031	2841	3070	1723	1890	1602	2045	2055
hsa-miR-454-5p	971	664	475	507	575	446	746	723
hsa-miR-4540	0	0	0	0	0	0	0	0
hsa-miR-455-3p	146	149	189	97	51	57	49	46
hsa-miR-455-5p	190	159	170	111	154	202	118	109
hsa-miR-4632-3p	0	0	0	0	0	0	0	0
hsa-miR-4632-5p	0	0	0	0	0	0	0	0
hsa-miR-4633-3p	1	0	0	0	0	0	0	1
hsa-miR-4633-5p	1	0	0	0	0	0	1	0
hsa-miR-4634	0	0	0	1	0	2	0	1
hsa-miR-4635	3	5	2	0	1	5	0	6
hsa-miR-4636	4	10	1	5	6	3	4	1
hsa-miR-4637	1	0	1	4	0	2	0	0
hsa-miR-4638-3p	59	47	25	50	52	66	59	73
hsa-miR-4638-5p	5	11	8	1	2	2	6	2
hsa-miR-4639-3p	0	1	0	0	1	1	1	1
hsa-miR-4639-5p	6	1	0	0	1	0	0	0
hsa-miR-4640-3p	5	2	3	2	5	2	0	2
hsa-miR-4640-5p	51	94	46	59	54	105	37	52
hsa-miR-4641	1	2	0	0	0	0	0	0
hsa-miR-4642	3	5	0	3	5	0	2	3
hsa-miR-4643	0	0	0	0	0	0	0	0
hsa-miR-4644	6	9	4	6	1	3	4	6
hsa-miR-4645-3p	5	4	5	4	5	5	9	11
hsa-miR-4645-5p	1	0	0	0	0	0	1	0
hsa-miR-4646-3p	0	1	0	0	2	1	0	1
hsa-miR-4646-5p	5	2	1	3	5	1	0	2
hsa-miR-4647	18	9	11	7	3	7	7	6
hsa-miR-4648	35	24	9	23	18	36	23	20
hsa-miR-4649-3p	0	0	0	0	0	0	0	0
hsa-miR-4649-5p	0	0	0	0	0	0	0	0
hsa-miR-4650-3p	1	0	0	0	0	0	0	0
hsa-miR-4650-5p	0	0	1	0	1	0	0	1
hsa-miR-4651	3	3	1	2	1	5	2	3
hsa-miR-4652-3p	1	0	1	0	1	1	0	1
hsa-miR-4652-5p	25	30	30	25	22	27	30	32
hsa-miR-4653-3p	3	3	2	1	0	3	0	1
hsa-miR-4653-5p	0	0	1	0	1	0	1	2
hsa-miR-4654	101	172	72	119	130	223	152	163
hsa-miR-4655-3p	1	1	0	1	1	1	0	0
hsa-miR-4655-5p	5	5	2	1	3	2	0	5
hsa-miR-4656	2	2	1	0	0	2	0	0
hsa-miR-4657	2	6	2	1	7	9	4	11
hsa-miR-4658	1	2	2	2	6	6	1	1
hsa-miR-4659a-3p	2	3	5	1	5	3	4	4
hsa-miR-4659a-5p	0	0	1	1	0	0	0	0
hsa-miR-4659b-3p	0	0	0	0	0	0	0	0
hsa-miR-4659b-5p	0	0	0	0	0	0	0	0
hsa-miR-466	0	0	1	0	0	0	0	0
hsa-miR-4660	11	20	10	8	24	27	20	24
hsa-miR-4661-3p	0	1	1	0	2	4	2	1
hsa-miR-4661-5p	12	9	7	16	13	23	13	16
hsa-miR-4662a-3p	1	0	1	2	0	0	1	0
hsa-miR-4662a-5p	60	20	21	28	38	21	30	33
hsa-miR-4662b	2	1	1	0	0	0	0	0
hsa-miR-4663	2	0	1	2	1	1	0	1
hsa-miR-4664-3p	18	18	6	19	10	28	15	11
hsa-miR-4664-5p	11	26	11	7	2	4	5	3
hsa-miR-4665-3p	0	0	0	0	0	0	0	0
hsa-miR-4665-5p	12	25	6	2	0	8	2	1
hsa-miR-4666a-3p	0	0	0	3	0	1	0	1
hsa-miR-4666a-5p	2	2	2	2	1	3	2	1
hsa-miR-4666b	0	0	0	0	0	0	0	0
hsa-miR-4667-3p	0	0	1	0	0	0	0	0
hsa-miR-4667-5p	5	4	3	5	5	4	3	0
hsa-miR-4668-3p	4	3	1	0	2	8	3	0
hsa-miR-4668-5p	24	30	18	10	3	19	19	13
hsa-miR-4669	33	49	23	24	33	50	33	40
hsa-miR-4670-3p	0	2	1	2	2	3	1	4
hsa-miR-4670-5p	1	0	1	0	2	3	2	1
hsa-miR-4671-3p	1	0	0	1	0	0	1	0
hsa-miR-4671-5p	0	0	1	0	0	0	0	0
hsa-miR-4672	3	1	0	0	0	3	2	2
hsa-miR-4673	0	2	2	1	0	0	0	2
hsa-miR-4674	7	7	2	7	4	7	5	4
hsa-miR-4675	5	4	7	4	9	13	3	4
hsa-miR-4676-3p	0	0	1	0	0	0	0	0
hsa-miR-4676-5p	1	1	2	0	0	2	0	2
hsa-miR-4677-3p	75	51	33	63	83	65	77	82
hsa-miR-4677-5p	14	14	11	13	25	22	25	17
hsa-miR-4678	0	0	0	0	0	0	0	0
hsa-miR-4679	0	0	0	0	0	0	0	0
hsa-miR-4680-3p	2	5	4	4	2	2	4	0
hsa-miR-4680-5p	1	0	0	0	2	3	0	1
hsa-miR-4681	0	0	0	0	0	0	0	0
hsa-miR-4682	1	0	0	2	0	7	3	3
hsa-miR-4683	1	3	1	0	1	1	1	0
hsa-miR-4684-3p	0	0	0	0	0	0	0	0
hsa-miR-4684-5p	0	0	0	0	0	0	0	0
hsa-miR-4685-3p	0	3	0	0	0	1	2	1
hsa-miR-4685-5p	0	1	2	0	0	0	0	0
hsa-miR-4686	2	3	2	4	1	4	7	2
hsa-miR-4687-3p	20	21	6	7	11	12	8	9
hsa-miR-4687-5p	0	1	0	0	0	0	0	0
hsa-miR-4688	14	11	11	4	3	10	2	5
hsa-miR-4689	1	4	4	4	0	2	0	2
hsa-miR-4690-3p	14	12	15	11	10	15	8	7
hsa-miR-4690-5p	12	17	6	4	4	8	2	1
hsa-miR-4691-3p	5	8	7	5	3	10	16	13
hsa-miR-4691-5p	0	0	0	0	0	1	2	0
hsa-miR-4692	1	0	1	0	1	0	0	1
hsa-miR-4693-3p	0	0	0	0	0	0	0	0
hsa-miR-4693-5p	0	0	0	0	0	0	0	0
hsa-miR-4694-3p	0	0	0	1	0	0	0	0
hsa-miR-4694-5p	0	0	0	0	0	0	0	0
hsa-miR-4695-3p	1	0	1	3	1	1	0	1
hsa-miR-4695-5p	1	0	1	0	0	1	0	0
hsa-miR-4696	0	0	0	0	0	0	0	0
hsa-miR-4697-3p	3	2	2	1	0	4	1	4
hsa-miR-4697-5p	0	0	2	0	1	0	0	0
hsa-miR-4698	3	4	3	5	6	7	2	4
hsa-miR-4699-3p	1	2	1	0	0	0	1	1
hsa-miR-4699-5p	2	0	1	0	0	0	2	0
hsa-miR-4700-3p	4	0	0	0	0	0	1	1
hsa-miR-4700-5p	2	7	2	10	6	9	9	11
hsa-miR-4701-3p	1	1	2	1	0	0	0	1
hsa-miR-4701-5p	0	0	0	0	0	0	0	0
hsa-miR-4703-3p	0	0	0	0	0	0	0	0
hsa-miR-4703-5p	0	1	0	2	0	2	1	0
hsa-miR-4704-3p	0	0	0	0	0	0	0	0
hsa-miR-4704-5p	0	0	0	0	0	0	0	0
hsa-miR-4705	0	0	0	0	0	0	0	0
hsa-miR-4706	3	0	2	3	0	5	1	2
hsa-miR-4707-3p	14	6	10	5	6	9	2	2
hsa-miR-4707-5p	205	242	56	115	76	171	76	76
hsa-miR-4708-3p	0	1	0	0	0	0	0	0
hsa-miR-4708-5p	1	0	0	0	0	0	0	0
hsa-miR-4709-3p	1	2	2	0	3	1	0	0
hsa-miR-4709-5p	2	0	3	0	0	2	0	0
hsa-miR-4710	0	0	0	0	0	0	0	0
hsa-miR-4711-3p	0	0	0	0	0	0	0	0
hsa-miR-4711-5p	0	0	0	0	0	1	0	0
hsa-miR-4712-3p	4	7	1	4	5	0	5	7
hsa-miR-4712-5p	1	1	0	1	0	0	0	0
hsa-miR-4713-3p	11	15	6	6	12	14	7	13
hsa-miR-4713-5p	12	14	10	4	10	5	5	3
hsa-miR-4714-3p	26	19	19	22	35	37	23	22
hsa-miR-4714-5p	0	3	2	1	0	5	4	1
hsa-miR-4715-3p	0	0	0	0	0	0	0	0
hsa-miR-4715-5p	2	0	0	0	1	0	0	2
hsa-miR-4716-3p	2	0	0	1	0	0	0	0
hsa-miR-4716-5p	0	0	1	0	0	1	0	0
hsa-miR-4717-3p	4	2	0	2	2	1	4	1
hsa-miR-4717-5p	3	4	3	6	2	2	1	3
hsa-miR-4718	1	0	0	0	0	0	0	0
hsa-miR-4719	0	0	0	0	0	0	0	0
hsa-miR-4720-3p	1	1	0	0	0	0	1	1
hsa-miR-4720-5p	0	0	2	1	9	5	3	1
hsa-miR-4721	10	10	5	6	6	12	12	10
hsa-miR-4722-3p	0	0	0	0	0	1	0	0
hsa-miR-4722-5p	3	7	13	8	12	11	4	5
hsa-miR-4723-3p	0	1	0	1	1	1	0	0
hsa-miR-4723-5p	4	6	3	1	2	1	2	0
hsa-miR-4724-3p	0	0	0	0	0	0	0	0
hsa-miR-4724-5p	3	5	6	10	16	23	15	11
hsa-miR-4725-3p	17	31	22	16	5	16	5	9
hsa-miR-4725-5p	2	5	0	0	0	1	3	1
hsa-miR-4726-3p	0	3	0	0	0	1	0	1
hsa-miR-4726-5p	12	17	9	5	7	12	8	1
hsa-miR-4727-3p	2	3	2	2	1	2	0	2
hsa-miR-4727-5p	2	0	0	3	2	1	0	1
hsa-miR-4728-3p	9	11	5	5	8	7	14	7
hsa-miR-4728-5p	6	10	7	2	6	2	2	4
hsa-miR-4729	0	1	0	0	0	0	0	0
hsa-miR-4730	1	1	0	0	2	0	1	1
hsa-miR-4731-3p	0	0	0	0	0	0	0	0
hsa-miR-4731-5p	1	0	0	0	0	0	0	0
hsa-miR-4732-3p	0	0	0	0	0	0	0	0
hsa-miR-4732-5p	0	0	0	0	0	0	0	0
hsa-miR-4733-3p	5	8	6	2	4	8	4	5
hsa-miR-4733-5p	3	1	3	5	2	6	2	3
hsa-miR-4734	0	2	1	1	2	1	0	0
hsa-miR-4735-3p	1	0	0	0	0	1	0	0
hsa-miR-4735-5p	0	0	0	0	0	0	0	0
hsa-miR-4736	0	0	0	0	0	0	0	0
hsa-miR-4737	0	0	0	0	0	0	0	0
hsa-miR-4738-3p	17	7	3	4	11	23	12	17
hsa-miR-4738-5p	0	1	0	0	0	0	0	0
hsa-miR-4739	0	0	0	0	0	0	1	0
hsa-miR-4740-3p	0	0	0	0	0	0	0	0
hsa-miR-4740-5p	0	0	0	0	0	0	0	0
hsa-miR-4741	1	3	1	0	1	1	1	0
hsa-miR-4742-3p	63	77	44	114	97	74	105	112
hsa-miR-4742-5p	10	7	8	5	7	1	2	3
hsa-miR-4743-3p	4	1	0	1	2	3	2	0
hsa-miR-4743-5p	4	7	3	4	6	8	1	1
hsa-miR-4744	0	0	0	0	0	0	0	0
hsa-miR-4745-3p	16	19	24	12	10	23	16	16
hsa-miR-4745-5p	126	199	45	123	85	153	98	87
hsa-miR-4746-3p	0	0	0	0	0	0	0	0
hsa-miR-4746-5p	133	126	103	156	193	243	205	202
hsa-miR-4747-3p	1	0	2	1	0	1	0	2
hsa-miR-4747-5p	4	4	11	2	3	5	1	3
hsa-miR-4748	9	6	4	0	1	0	2	1
hsa-miR-4749-3p	0	0	0	0	2	2	0	0
hsa-miR-4749-5p	1	2	1	2	3	0	0	0
hsa-miR-4750-3p	1	0	1	0	1	1	3	0
hsa-miR-4750-5p	0	3	8	0	1	1	2	1
hsa-miR-4751	0	1	1	3	3	1	4	4
hsa-miR-4752	0	0	0	0	0	0	0	0
hsa-miR-4753-3p	0	1	2	1	0	3	2	0
hsa-miR-4753-5p	4	7	6	2	5	1	8	3
hsa-miR-4754	3	4	3	4	0	1	3	2
hsa-miR-4755-3p	1	0	1	2	2	6	0	2
hsa-miR-4755-5p	0	0	0	1	0	0	0	0
hsa-miR-4756-3p	1	1	1	0	0	1	0	0
hsa-miR-4756-5p	4	3	1	5	4	3	3	2
hsa-miR-4757-3p	3	4	4	1	1	0	0	1
hsa-miR-4757-5p	5	6	0	2	1	4	0	4
hsa-miR-4758-3p	5	2	6	2	5	2	3	8
hsa-miR-4758-5p	2	8	1	3	0	6	3	2
hsa-miR-4759	0	0	0	0	0	0	0	0
hsa-miR-4760-3p	5	2	2	2	1	3	3	2
hsa-miR-4760-5p	428	371	511	561	612	677	573	468
hsa-miR-4761-3p	0	1	0	1	0	0	0	1
hsa-miR-4761-5p	0	0	0	1	1	0	0	0
hsa-miR-4762-3p	4	2	3	2	7	1	4	3
hsa-miR-4762-5p	0	2	1	2	3	3	2	3
hsa-miR-4763-3p	8	8	8	7	0	1	2	1
hsa-miR-4763-5p	2	1	2	2	0	2	1	1
hsa-miR-4764-3p	1	0	0	0	0	2	0	1
hsa-miR-4764-5p	9	6	9	7	6	11	7	11
hsa-miR-4765	2	0	0	0	2	2	1	3
hsa-miR-4766-3p	1	5	1	4	4	0	1	1
hsa-miR-4766-5p	2	4	4	1	9	7	6	2
hsa-miR-4767	2	1	0	2	1	5	3	1
hsa-miR-4768-3p	0	1	0	0	0	0	0	1
hsa-miR-4768-5p	7	4	2	3	7	7	4	5
hsa-miR-4769-3p	0	1	2	0	1	0	1	0
hsa-miR-4769-5p	1	0	2	0	2	3	1	0
hsa-miR-4770	0	0	0	0	0	0	0	0
hsa-miR-4771	0	0	0	0	0	0	0	0
hsa-miR-4772-3p	0	0	0	0	0	0	0	0
hsa-miR-4772-5p	0	0	0	0	0	0	0	0
hsa-miR-4773	0	0	0	0	0	0	0	0
hsa-miR-4774-3p	0	0	0	0	0	0	0	0
hsa-miR-4774-5p	2	2	1	4	3	3	3	7
hsa-miR-4775	11	13	10	8	12	5	17	8
hsa-miR-4776-3p	0	0	0	0	0	0	0	0
hsa-miR-4776-5p	0	0	0	0	0	1	0	0
hsa-miR-4777-3p	1	0	0	0	0	0	0	0
hsa-miR-4777-5p	0	1	0	0	0	0	2	0
hsa-miR-4778-3p	8	7	13	10	12	10	12	5
hsa-miR-4778-5p	28	24	21	28	24	29	28	22
hsa-miR-4779	0	4	0	0	0	1	0	2
hsa-miR-4780	0	0	0	0	0	0	0	0
hsa-miR-4781-3p	5	7	4	5	11	17	6	20
hsa-miR-4781-5p	0	0	0	0	0	1	0	0
hsa-miR-4782-3p	0	0	0	0	0	0	0	0
hsa-miR-4782-5p	1	0	0	1	0	0	0	0
hsa-miR-4783-3p	0	7	0	2	1	5	3	2
hsa-miR-4783-5p	0	0	0	0	0	0	0	0
hsa-miR-4784	12	11	7	19	22	27	24	14
hsa-miR-4785	3	0	1	0	1	2	0	0
hsa-miR-4786-3p	5	0	4	4	2	2	1	2
hsa-miR-4786-5p	7	11	4	10	9	9	14	25
hsa-miR-4787-3p	7	5	10	6	2	3	2	4
hsa-miR-4787-5p	0	0	0	0	0	0	0	1
hsa-miR-4788	1	0	0	0	0	1	0	1
hsa-miR-4789-3p	0	0	0	0	0	0	0	0
hsa-miR-4789-5p	3	2	0	2	0	6	0	0
hsa-miR-4790-3p	0	0	1	1	0	0	1	0
hsa-miR-4790-5p	0	0	0	0	0	2	1	0
hsa-miR-4791	20	21	16	14	22	24	7	11
hsa-miR-4792	0	1	1	0	0	0	0	1
hsa-miR-4793-3p	6	3	1	3	4	10	5	3
hsa-miR-4793-5p	0	0	0	0	0	0	0	0
hsa-miR-4794	2	1	0	0	0	0	1	0
hsa-miR-4795-3p	1	1	2	0	3	1	1	3
hsa-miR-4795-5p	1	2	1	1	3	2	2	0
hsa-miR-4796-3p	0	0	0	0	0	0	0	0
hsa-miR-4796-5p	0	0	0	0	0	0	0	0
hsa-miR-4797-3p	2	1	4	5	1	3	5	4
hsa-miR-4797-5p	1	0	2	1	2	1	2	3
hsa-miR-4798-3p	0	0	0	0	1	2	0	0
hsa-miR-4798-5p	24	11	11	22	29	35	25	27
hsa-miR-4799-3p	0	0	2	0	0	0	0	0
hsa-miR-4799-5p	5	1	1	4	4	2	3	5
hsa-miR-4800-3p	0	0	0	0	0	0	0	0
hsa-miR-4800-5p	0	1	0	0	0	1	1	0
hsa-miR-4801	0	0	0	0	0	0	0	0
hsa-miR-4802-3p	145	140	121	117	126	106	133	120
hsa-miR-4802-5p	13	8	22	7	10	14	7	6
hsa-miR-4803	0	0	0	0	0	0	0	0
hsa-miR-4804-3p	0	0	0	1	0	0	0	0
hsa-miR-4804-5p	28	41	17	30	18	29	17	19
hsa-miR-483-3p	4	0	0	1	1	1	1	1
hsa-miR-483-5p	63	55	37	49	40	53	28	38
hsa-miR-484	1139	1318	1364	758	950	1071	854	936
hsa-miR-485-3p	3	1	0	1	2	0	0	0
hsa-miR-485-5p	2	0	1	0	0	0	0	0
hsa-miR-486-3p	14	8	26	12	10	11	6	2
hsa-miR-486-5p	106	103	49	131	174	184	157	154
hsa-miR-487a-3p	0	1	0	1	0	0	0	0
hsa-miR-487a-5p	0	0	0	0	0	0	0	0
hsa-miR-487b-3p	0	0	2	0	1	0	0	0
hsa-miR-487b-5p	0	0	0	0	0	0	0	0
hsa-miR-488-3p	0	0	0	0	0	0	2	0
hsa-miR-488-5p	0	0	0	0	0	0	0	0
hsa-miR-489-3p	2284	2103	2711	1982	2010	1588	1840	1726
hsa-miR-489-5p	2	5	2	4	2	4	2	2
hsa-miR-490-3p	0	0	0	0	0	0	0	0
hsa-miR-490-5p	0	0	0	0	0	0	0	0
hsa-miR-491-3p	5	8	4	3	2	1	6	3
